image_id,image_type,kilogram_id,image_path
COCO_val2014_000000517318.jpg,photograph,NA,NA
COCO_val2014_000000556369.jpg,photograph,NA,NA
COCO_val2014_000000046327.jpg,photograph,NA,NA
COCO_val2014_000000377361.jpg,photograph,NA,NA
COCO_val2014_000000023489.jpg,photograph,NA,NA
COCO_val2014_000000020470.jpg,photograph,NA,NA
COCO_val2014_000000107306.jpg,photograph,NA,NA
COCO_val2014_000000265372.jpg,photograph,NA,NA
COCO_val2014_000000307967.jpg,photograph,NA,NA
COCO_val2014_000000417857.jpg,photograph,NA,NA
COCO_val2014_000000072075.jpg,photograph,NA,NA
COCO_val2014_000000166696.jpg,photograph,NA,NA
COCO_val2014_000000017179.jpg,photograph,NA,NA
COCO_val2014_000000289523.jpg,photograph,NA,NA
COCO_val2014_000000384204.jpg,photograph,NA,NA
COCO_val2014_000000386457.jpg,photograph,NA,NA
COCO_val2014_000000157390.jpg,photograph,NA,NA
COCO_val2014_000000442106.jpg,photograph,NA,NA
COCO_val2014_000000493206.jpg,photograph,NA,NA
COCO_val2014_000000394259.jpg,photograph,NA,NA
COCO_val2014_000000087561.jpg,photograph,NA,NA
COCO_val2014_000000355418.jpg,photograph,NA,NA
COCO_val2014_000000206958.jpg,photograph,NA,NA
COCO_val2014_000000098895.jpg,photograph,NA,NA
COCO_val2014_000000554302.jpg,photograph,NA,NA
COCO_val2014_000000435384.jpg,photograph,NA,NA
COCO_val2014_000000057353.jpg,photograph,NA,NA
COCO_val2014_000000272566.jpg,photograph,NA,NA
COCO_val2014_000000135578.jpg,photograph,NA,NA
COCO_val2014_000000008876.jpg,photograph,NA,NA
COCO_val2014_000000521357.jpg,photograph,NA,NA
COCO_val2014_000000126429.jpg,photograph,NA,NA
COCO_val2014_000000557644.jpg,photograph,NA,NA
COCO_val2014_000000271844.jpg,photograph,NA,NA
COCO_val2014_000000344762.jpg,photograph,NA,NA
COCO_val2014_000000032391.jpg,photograph,NA,NA
COCO_val2014_000000132682.jpg,photograph,NA,NA
COCO_val2014_000000167477.jpg,photograph,NA,NA
COCO_val2014_000000572399.jpg,photograph,NA,NA
COCO_val2014_000000011727.jpg,photograph,NA,NA
COCO_val2014_000000092700.jpg,photograph,NA,NA
COCO_val2014_000000233968.jpg,photograph,NA,NA
COCO_val2014_000000452218.jpg,photograph,NA,NA
COCO_val2014_000000195829.jpg,photograph,NA,NA
COCO_val2014_000000260182.jpg,photograph,NA,NA
COCO_val2014_000000181249.jpg,photograph,NA,NA
COCO_val2014_000000204360.jpg,photograph,NA,NA
COCO_val2014_000000072050.jpg,photograph,NA,NA
page2-136,tangram,NA,NA
page7-79,tangram,NA,NA
page6-52,tangram,NA,NA
page8-248,tangram,NA,NA
page6-206,tangram,NA,NA
page2-100,tangram,NA,NA
page9-40,tangram,NA,NA
page6-160,tangram,NA,NA
page5-139,tangram,NA,NA
page7-40,tangram,NA,NA
page6-155,tangram,NA,NA
page6-109,tangram,NA,NA
page5-71,tangram,NA,NA
page5-65,tangram,NA,NA
page7-166,tangram,NA,NA
page7-20,tangram,NA,NA
page4-11,tangram,NA,NA
page8-169,tangram,NA,NA
page2-140,tangram,NA,NA
page5-153,tangram,NA,NA
page9-39,tangram,NA,NA
page1-95,tangram,NA,NA
page5-86,tangram,NA,NA
page7-107,tangram,NA,NA
page2-34,tangram,NA,NA
page6-122,tangram,NA,NA
page3-52,tangram,NA,NA
page3-70,tangram,NA,NA
page1-133,tangram,NA,NA
page7-125,tangram,NA,NA
page5-121,tangram,NA,NA
page8-21,tangram,NA,NA
page3-201,tangram,NA,NA
page7-81,tangram,NA,NA
page7-44,tangram,NA,NA
page8-183,tangram,NA,NA
page6-1,tangram,NA,NA
page7-116,tangram,NA,NA
