dataset_id,condition_label,full_cite,short_cite,language,game_id,player_id,trial_num,rep_num,room_num,stage_num,age,gender,role,target,message_number,text,choice_id,time_stamp,option_set,group_size,structure,exclude,exclusion_reason,action_type,message_irrelevant
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,34,3,1,1,NA,NA,describer,J,10,10  is what has been,NA,1459981467567,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,34,3,1,1,NA,NA,matcher,J,NA,NA,J,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,35,3,1,1,NA,NA,describer,C,11,11  is prayer without point,NA,1459981467567,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,35,3,1,1,NA,NA,matcher,C,NA,NA,C,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,36,3,1,1,NA,NA,describer,K,12,12  is leftover,NA,1459981467567,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,36,3,1,1,NA,NA,matcher,K,NA,NA,K,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,37,4,1,1,NA,NA,describer,B,1,got it  1  is swaddled baby  number 1 1  in the first two rounds (diamond on top of rectangle),NA,1459981642305,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,37,4,1,1,NA,NA,matcher,B,NA,NA,B,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,38,4,1,1,NA,NA,describer,K,2,2  is person looking back with foot raised,NA,1459981642305,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,38,4,1,1,NA,NA,matcher,K,NA,NA,K,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,39,4,1,1,NA,NA,describer,C,3,3  is worshipper,NA,1459981642305,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
