text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
looks like it'd be in a coral reef or something it looks like there is a lot of legs coming out of it,4,describer,1,FALSE,NA,213
a chinese symbol three pieces it kind of looks like a head two arms two legs,4,describer,1,FALSE,NA,214
the star with the flames around it,4,describer,1,FALSE,NA,215
looks like tall grass the ends are split,4,describer,1,FALSE,NA,216
like a column divided into rows of grey or dark grey it looks kind of llike a knee,4,describer,1,FALSE,NA,217
looks like fur,4,describer,1,FALSE,NA,218
looks like a cell if you were to cut it open,4,describer,1,FALSE,NA,219
looks like a ball that has basically just looks like a basketball inside,4,describer,1,FALSE,NA,220
looks like a wireless router for a computer,4,describer,1,FALSE,NA,221
looks like a flower,4,describer,1,FALSE,NA,222
like two cursive l's,5,describer,1,FALSE,NA,223
two horizontal lines,5,describer,1,FALSE,NA,224
like a hlaf circle really dark like a t inbetween it like the triangle the v bottom,5,describer,1,FALSE,NA,225
a horizontal line it just looks like a c on it,5,describer,1,FALSE,NA,226
a whole bunch of circles in a circle vertical lines in the little part of the circle or oval,5,describer,1,FALSE,NA,227
kind of looks like a chair maybe theres a triangle on the inside of it,5,describer,1,FALSE,NA,228
kind of looks like there is a paw inside of it,5,describer,1,FALSE,NA,229
kind of looks like a cookie with chocolate chips or soemthing,5,describer,1,FALSE,NA,230
kind of looks like a j but dark curvy with shaded parts,5,describer,1,FALSE,NA,231
looks like a light curvy figure that has a whole bunch of curvy lines in the middle,5,describer,1,FALSE,NA,232
a really dark v kind of shape,5,describer,1,FALSE,NA,233
a circle a vertical line a smaller circle it has like an x kind of in the middle,5,describer,1,FALSE,NA,234
kind of looks like a whole bunch of little circles like a darker grey kind of deal,5,describer,1,FALSE,NA,235
kind of just looks like clothes on the floor bunched up kind of,5,describer,1,FALSE,NA,236
"like an infinity sign at the bottom part kind of looks like, on the top it has like a darker shaded part",5,describer,1,FALSE,NA,237
kind of looks like a keychain,5,describer,1,FALSE,NA,238
a slanted line with three horizontal lines at the bottom there is kind of diamond looking thing on the end,5,describer,1,FALSE,NA,239
five boxes that stacked on each other,5,describer,1,FALSE,NA,240
"four triangles next to each other, kind of looks like letter As",5,describer,1,FALSE,NA,241
"almost triangle looking thing, but it upside down, and it has bunch of spikes on it",5,describer,1,FALSE,NA,242
a sideway V and it has a circle on it,5,describer,1,FALSE,NA,243
