room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,1;2;3;4;5;6,4,1,9,2,FALSE,NA,order,1,32,12,189,12
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,32,12,190,12
1,1;2;3;4;5;6,5,1,11,2,FALSE,NA,order,1,32,12,191,12
1,1;2;3;4;5;6,1,1,12,2,FALSE,NA,order,1,32,12,192,12
1,1;2;3;4;5;6,1,1,7,2,FALSE,NA,order,1,33,13,193,13
1,1;2;3;4;5;6,2,1,8,2,FALSE,NA,order,1,33,13,194,13
1,1;2;3;4;5;6,5,1,9,2,FALSE,NA,order,1,33,13,195,13
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,33,13,196,13
1,1;2;3;4;5;6,3,1,11,2,FALSE,NA,order,1,33,13,197,13
1,1;2;3;4;5;6,4,1,12,2,FALSE,NA,order,1,33,13,198,13
1,1;2;3;4;5;6,6,1,7,2,FALSE,NA,order,1,34,14,199,14
1,1;2;3;4;5;6,4,1,8,2,FALSE,NA,order,1,34,14,200,14
1,1;2;3;4;5;6,1,1,9,2,FALSE,NA,order,1,34,14,201,14
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,34,14,202,14
1,1;2;3;4;5;6,2,1,11,2,FALSE,NA,order,1,34,14,203,14
1,1;2;3;4;5;6,3,1,12,2,FALSE,NA,order,1,34,14,204,14
1,1;2;3;4;5;6,2,1,7,2,FALSE,NA,order,1,35,15,205,15
1,1;2;3;4;5;6,1,1,8,2,FALSE,NA,order,1,35,15,206,15
1,1;2;3;4;5;6,6,1,9,2,FALSE,NA,order,1,35,15,207,15
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,35,15,208,15
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,35,15,209,15
1,1;2;3;4;5;6,3,1,12,2,FALSE,NA,order,1,35,15,210,15
1,1;2;3;4;5;6,4,1,7,2,FALSE,NA,order,1,36,16,211,16
1,1;2;3;4;5;6,6,1,8,2,FALSE,NA,order,1,36,16,212,16
1,1;2;3;4;5;6,1,1,9,2,FALSE,NA,order,1,36,16,213,16
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,36,16,214,16
1,1;2;3;4;5;6,3,1,11,2,FALSE,NA,order,1,36,16,215,16
1,1;2;3;4;5;6,2,1,12,2,FALSE,NA,order,1,36,16,216,16
1,1;2;3;4;5;6,5,1,7,2,FALSE,NA,order,1,37,17,217,17
1,1;2;3;4;5;6,4,1,8,2,FALSE,NA,order,1,37,17,218,17
1,1;2;3;4;5;6,1,1,9,2,FALSE,NA,order,1,37,17,219,17
1,1;2;3;4;5;6,3,1,10,2,FALSE,NA,order,1,37,17,220,17
1,1;2;3;4;5;6,2,1,11,2,FALSE,NA,order,1,37,17,221,17
1,1;2;3;4;5;6,6,1,12,2,FALSE,NA,order,1,37,17,222,17
1,1;2;3;4;5;6,3,1,7,2,FALSE,NA,order,1,38,18,223,18
1,1;2;3;4;5;6,5,1,8,2,FALSE,NA,order,1,38,18,224,18
1,1;2;3;4;5;6,2,1,9,2,FALSE,NA,order,1,38,18,225,18
1,1;2;3;4;5;6,1,1,10,2,FALSE,NA,order,1,38,18,226,18
1,1;2;3;4;5;6,6,1,11,2,FALSE,NA,order,1,38,18,227,18
1,1;2;3;4;5;6,4,1,12,2,FALSE,NA,order,1,38,18,228,18
1,1;2;3;4;5;6,2,1,7,2,FALSE,NA,order,1,39,19,229,19
1,1;2;3;4;5;6,1,1,8,2,FALSE,NA,order,1,39,19,230,19
1,1;2;3;4;5;6,5,1,9,2,FALSE,NA,order,1,39,19,231,19
1,1;2;3;4;5;6,3,1,10,2,FALSE,NA,order,1,39,19,232,19
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,39,19,233,19
1,1;2;3;4;5;6,1,1,7,2,FALSE,NA,order,1,40,20,234,20
1,1;2;3;4;5;6,6,1,8,2,FALSE,NA,order,1,40,20,235,20
1,1;2;3;4;5;6,5,1,9,2,FALSE,NA,order,1,40,20,236,20
1,1;2;3;4;5;6,3,1,10,2,FALSE,NA,order,1,40,20,237,20
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,40,20,238,20
1,1;2;3;4;5;6,2,1,12,2,FALSE,NA,order,1,40,20,239,20
1,1;2;3;4;5;6,6,1,13,3,FALSE,NA,order,1,21,1,240,1
1,1;2;3;4;5;6,1,1,14,3,FALSE,NA,order,1,21,1,241,1
1,1;2;3;4;5;6,3,1,15,3,FALSE,NA,order,1,21,1,242,1
1,1;2;3;4;5;6,4,1,16,3,FALSE,NA,order,1,21,1,243,1
1,1;2;3;4;5;6,5,1,17,3,FALSE,NA,order,1,21,1,244,1
1,1;2;3;4;5;6,2,1,18,3,FALSE,NA,order,1,21,1,245,1
1,1;2;3;4;5;6,4,1,13,3,FALSE,NA,order,1,22,2,246,2
1,1;2;3;4;5;6,1,1,14,3,FALSE,NA,order,1,22,2,247,2
1,1;2;3;4;5;6,5,1,15,3,FALSE,NA,order,1,22,2,248,2
1,1;2;3;4;5;6,3,1,16,3,FALSE,NA,order,1,22,2,249,2
1,1;2;3;4;5;6,2,1,17,3,FALSE,NA,order,1,22,2,250,2
1,1;2;3;4;5;6,6,1,18,3,FALSE,NA,order,1,22,2,251,2
1,1;2;3;4;5;6,4,1,13,3,FALSE,NA,order,1,23,3,252,3
1,1;2;3;4;5;6,6,1,14,3,FALSE,NA,order,1,23,3,253,3
1,1;2;3;4;5;6,3,1,15,3,FALSE,NA,order,1,23,3,254,3
1,1;2;3;4;5;6,5,1,16,3,FALSE,NA,order,1,23,3,255,3
1,1;2;3;4;5;6,1,1,17,3,FALSE,NA,order,1,23,3,256,3
1,1;2;3;4;5;6,2,1,18,3,FALSE,NA,order,1,23,3,257,3
1,1;2;3;4;5;6,6,1,13,3,FALSE,NA,order,1,24,4,258,4
1,1;2;3;4;5;6,5,1,14,3,FALSE,NA,order,1,24,4,259,4
1,1;2;3;4;5;6,2,1,15,3,FALSE,NA,order,1,24,4,260,4
1,1;2;3;4;5;6,3,1,16,3,FALSE,NA,order,1,24,4,261,4
1,1;2;3;4;5;6,4,1,17,3,FALSE,NA,order,1,24,4,262,4
