room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,jump;hold,jump,1,12,3,NA,NA,match,1,11,10,58,6
1,hold;swim,hold,1,1,1,NA,NA,match,1,12,13,59,7
1,walk;hold,walk,1,3,1,NA,NA,match,1,12,13,60,7
1,jump;walk,jump,1,4,1,NA,NA,match,1,13,12,61,7
1,jump;walk,jump,1,5,2,NA,NA,match,1,12,13,62,7
1,hold;jump,hold,1,6,2,NA,NA,match,1,13,12,63,7
1,swim;walk,swim,1,7,2,NA,NA,match,1,12,13,64,7
1,walk;hold,walk,1,8,2,NA,NA,match,1,13,12,65,7
1,hold;walk,hold,1,9,3,NA,NA,match,1,12,13,66,7
1,walk;swim,walk,1,10,3,NA,NA,match,1,13,12,67,7
1,swim;jump,swim,1,11,3,NA,NA,match,1,12,13,68,7
1,jump;walk,jump,1,12,3,NA,NA,match,1,13,12,69,7
1,walk;hold,walk,1,1,1,NA,NA,match,1,14,15,70,8
1,hold;walk,hold,1,2,1,NA,NA,match,1,15,14,71,8
1,jump;swim,jump,1,3,1,NA,NA,match,1,14,15,72,8
1,swim;walk,swim,1,4,1,NA,NA,match,1,15,14,73,8
1,hold;jump,hold,1,5,2,NA,NA,match,1,14,15,74,8
1,jump;swim,jump,1,6,2,NA,NA,match,1,15,14,75,8
1,swim;hold,swim,1,7,2,NA,NA,match,1,14,15,76,8
1,walk;swim,walk,1,8,2,NA,NA,match,1,15,14,77,8
1,walk;jump,walk,1,9,3,NA,NA,match,1,14,15,78,8
1,swim;hold,swim,1,10,3,NA,NA,match,1,15,14,79,8
1,hold;swim,hold,1,11,3,NA,NA,match,1,14,15,80,8
1,jump;swim,jump,1,12,3,NA,NA,match,1,15,14,81,8
1,jump;walk,jump,1,1,1,NA,NA,match,1,16,17,82,9
1,hold;walk,hold,1,2,1,NA,NA,match,1,17,16,83,9
1,walk;swim,walk,1,3,1,NA,NA,match,1,16,17,84,9
1,swim;walk,swim,1,4,1,NA,NA,match,1,17,16,85,9
1,hold;jump,hold,1,5,2,NA,NA,match,1,16,17,86,9
1,walk;jump,walk,1,6,2,NA,NA,match,1,17,16,87,9
1,swim;jump,swim,1,7,2,NA,NA,match,1,16,17,88,9
1,jump;walk,jump,1,8,2,NA,NA,match,1,17,16,89,9
1,jump;walk,jump,1,9,3,NA,NA,match,1,16,17,90,9
1,swim;jump,swim,1,10,3,NA,NA,match,1,17,16,91,9
1,hold;walk,hold,1,11,3,NA,NA,match,1,16,17,92,9
1,walk;swim,walk,1,12,3,NA,NA,match,1,17,16,93,9
1,swim;walk,swim,1,1,1,NA,NA,match,1,18,19,94,10
1,jump;swim,jump,1,2,1,NA,NA,match,1,19,18,95,10
1,hold;jump,hold,1,3,1,NA,NA,match,1,18,19,96,10
1,walk;hold,walk,1,4,1,NA,NA,match,1,19,18,97,10
1,jump;hold,jump,1,5,2,NA,NA,match,1,18,19,98,10
1,hold;jump,hold,1,6,2,NA,NA,match,1,19,18,99,10
1,swim;jump,swim,1,7,2,NA,NA,match,1,18,19,100,10
